"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @HHelpify: 🍥MJ's Premium Accounts🍣

- Other premium accounts are available. DM to inquire!

🌺 spotify, quizlet, youtube, hbo max, viu, c…",FALSE,0,NA,2021-09-27 04:52:11,FALSE,NA,"1442351340768821251",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","winnotmetawin",491,TRUE,FALSE,NA,NA
"RT @TylerIAm: *slow motion zoom to Larry’s wallet somehow being on the 50 yard line*",FALSE,0,NA,2021-09-27 04:52:06,FALSE,NA,"1442351317096153091",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","stefenloz",479,TRUE,FALSE,NA,NA
"RT @CryptooIndia: When in doubt, zoom out !! https://t.co/VaFDhzMJvS",FALSE,0,NA,2021-09-27 04:52:01,FALSE,NA,"1442351297357762561",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","shubham97212324",29,TRUE,FALSE,NA,NA
"RT @HHelpify: 🍥MJ's Premium Accounts🍣

- Other premium accounts are available. DM to inquire!

🌺 spotify, quizlet, youtube, hbo max, viu, c…",FALSE,0,NA,2021-09-27 04:52:00,FALSE,NA,"1442351292731441156",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","yvelcore_",491,TRUE,FALSE,NA,NA
"RT @InfoMetahash: 🔥ZERO fee everyday realtime shopping w/crypto: https://t.co/cxRbJWX2tK, NFTs, tokens, smartC, decentralized apps (exchang…",FALSE,0,NA,2021-09-27 04:51:58,FALSE,NA,"1442351285512982530",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","liaBigWin_8",13517,TRUE,FALSE,NA,NA
"RT @dayoungjia: zoom if you miss yoon jia https://t.co/zsiYxbiA0v",FALSE,0,NA,2021-09-27 04:51:52,FALSE,NA,"1442351258678005762",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","B4EKHYUNSGF",379,TRUE,FALSE,NA,NA
"RT @ProBit_Exchange: MNDCC trading kicks off September 29 🤝
https://t.co/TuBt8hY0rB  @MondoCoin 

#ecommerce #ProBitGlobal #listing #Crypto…",FALSE,0,NA,2021-09-27 04:51:48,FALSE,NA,"1442351243792322563",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Anhtr82123965",15,TRUE,FALSE,NA,NA
"@kayleigh_author Wow, that’s amazing. Here is mine a self-help book to improve productivity and time management ski… https://t.co/2zGDgQwgNQ",FALSE,1,"kayleigh_author",2021-09-27 04:51:44,TRUE,"1442050235992215557","1442351226318831620","1377273987798073345","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","azsyed1",0,FALSE,FALSE,NA,NA
"RT @MarknNiceOfcl: 𝗠𝗻𝗡 𝗦𝗵𝗼𝗽 𝗢𝗳𝗰𝗹 𝗣𝗿𝗶𝗰𝗲𝗹𝗶𝘀𝘁
     𝙰𝚏𝚏𝚘𝚛𝚍𝚊𝚋𝚕𝚎 𝚏𝚘𝚛 𝚊𝚕𝚕

Tags: canva netflix mlbb dias garena shells spotify grammarly cheggstud…",FALSE,0,NA,2021-09-27 04:51:44,FALSE,NA,"1442351224095838209",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","strawberrlywins",30,TRUE,FALSE,NA,NA
"Traditional Pottery Work Take A Massive Place Nowadays. 
It's time to migrate your Store Online📲
Build an eCommerce… https://t.co/08ndgXhBH4",FALSE,0,NA,2021-09-27 04:51:43,TRUE,NA,"1442351222799802369",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","SpiffUpOnline",0,FALSE,FALSE,NA,NA
"RT @CryptooIndia: When in doubt, zoom out !! https://t.co/VaFDhzMJvS",FALSE,0,NA,2021-09-27 04:51:40,FALSE,NA,"1442351208920858627",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sufiyanmalik_",29,TRUE,FALSE,NA,NA
"RT @Chaudhary_Sahb_: Assalam-o-alaikum
I am digital market enterprenuer in forever living company.
It's a USA  company and work in 170+ cou…",FALSE,0,NA,2021-09-27 04:51:36,FALSE,NA,"1442351192793919490",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BilalHa84086631",2,TRUE,FALSE,NA,NA
